"USPS","GEOID","ANSICODE","NAME","LSAD","FUNCSTAT","POP10","HU10","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG"
"TX","4824000","02410414","El Paso","25","A","649121","227605","661056631","2642037","255.235","1.020","31.848360","-106.426979"
"TN","4748000","02405068","Memphis","25","A","646889","291883","815988030","23176952","315.055","8.949","35.103543","-89.978498"
"MD","2404000","01702381","Baltimore","25","A","620961","296685","209643241","28768302","80.944","11.108","39.300213","-76.610516"
"MA","2507000","00619463","Boston","25","A","617594","272481","125037462","107130299","48.277","41.363","42.331960","-71.020173"
"WA","5363000","02411856","Seattle","25","A","608660","308516","217410345","152055857","83.943","58.709","47.620499","-122.350876"
"DC","1150000","02390665","Washington","25","N","601723","296719","158114680","18884970","61.048","7.292","38.904149","-77.017094"
"TN","4752006","02405092","Nashville-Davidson metropolitan government (balance)","00","F","601222","272622","1230569857","56261385","475.126","21.723","36.171800","-86.785002"
"CO","0820000","02410324","Denver","25","A","600158","285797","396268588","4225359","153.000","1.631","39.761849","-104.880625"
"KY","2148006","01967434","Louisville/Jefferson County metro government (balance)","00","F","597337","270928","842389102","43938966","325.248","16.965","38.178077","-85.666708"
"WI","5553000","01583724","Milwaukee","25","A","594833","255569","248955419","1755108","96.122","0.678","43.063348","-87.966695"
"OR","4159000","02411471","Portland","25","A","583776","265439","345573252","30196598","133.427","11.659","45.536951","-122.649971"
"NV","3240000","02411630","Las Vegas","25","A","583756","243701","351758506","133986","135.815","0.052","36.227712","-115.264045"
"OK","4055000","02411311","Oklahoma","25","A","579999","256930","1570595903","37324163","606.410","14.411","35.467079","-97.513657"
"NM","3502000","02409678","Albuquerque","25","A","545852","239166","486218256","4702696","187.730","1.816","35.105552","-106.647388"
"AZ","0477000","02412104","Tucson","25","A","520116","229762","587173307","842214","226.709","0.325","32.154289","-110.871062"
"CA","0627000","02410546","Fresno","25","A","494665","171288","289966538","910373","111.957","0.351","36.782674","-119.794492"
"CA","0664000","02411751","Sacramento","25","A","466488","190911","253599699","5673097","97.915","2.190","38.566592","-121.468632"
"CA","0643000","02410866","Long Beach","25","A","462257","176032","130259313","2963688","50.293","1.144","33.809102","-118.155327"
"MO","2938000","02395492","Kansas","25","A","459787","221860","815717156","10575319","314.950","4.083","39.125212","-94.551136"
"AZ","0446000","02411087","Mesa","25","A","439041","201173","353409966","1580758","136.452","0.610","33.401926","-111.717379"
"VA","5182000","01498559","Virginia Beach","25","A","437994","177879","644948896","643150238","249.016","248.322","36.779322","-76.024020"
"GA","1304000","02403126","Atlanta","25","A","420003","224573","344861307","2219186","133.152","0.857","33.762909","-84.422675"
"CO","0816000","02410198","Colorado Springs","25","A","416427","179607","503857525","947180","194.540","0.366","38.867255","-104.760749"
"NE","3137000","02396064","Omaha","25","A","408958","177518","329157346","9036153","127.088","3.489","41.264675","-96.041927"
"NC","3755000","02404590","Raleigh","25","A","403892","176124","370117231","2846320","142.903","1.099","35.830204","-78.641439"
"FL","1245000","02404247","Miami","25","A","399457","183994","92905577","52298641","35.871","20.193","25.775163","-80.208615"
"OH","3916000","01085963","Cleveland","25","A","396815","207536","201234202","12351419","77.697","4.769","41.478138","-81.679486"
"OK","4075000","02412110","Tulsa","25","A","391906","185127","509590364","10967865","196.754","4.235","36.127949","-95.902316"
"CA","0653000","02411292","Oakland","25","A","390724","169710","144484543","57539591","55.786","22.216","37.769857","-122.225640"
"MN","2743000","02395345","Minneapolis","25","A","382578","178287","139789184","9052448","53.973","3.495","44.963323","-93.268284"
"KS","2079000","00485662","Wichita","25","A","382368","167310","412571486","11136472","159.295","4.300","37.690694","-97.342678"
"PR","7276770","02414943","San Juan zona urbana","62","S","381931","194316","102305007","17914425","39.500","6.917","18.406409","-66.064004"
